Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price
2012,35000,Diesel,Manual,First,7,7
2015,50000,Petrol,Manual,First,5,5.75
2008,62000,Petrol,Manual,Second,5,1.65
2012,78000,Diesel,Manual,First,5,6.5
2011,79000,Diesel,Manual,First,5,7.5
2019,6773,Diesel,Automatic,First,7,72.94
2010,135000,Diesel,Manual,Second,7,11
2013,36716,Petrol,Manual,First,5,3.02
2013,65060,Petrol,Manual,First,5,3.32
2013,33000,Petrol,Manual,First,5,3.24
2015,11110,Petrol,Manual,First,5,2.35
2013,63000,Diesel,Manual,First,7,5.5
2015,27030,Petrol,Manual,First,5,6.75
2015,19600,Petrol,Manual,First,5,6.15
2016,27755,Petrol,Manual,First,5,5.45
2013,20000,Petrol,Manual,Second,5,2.3
2015,24782,Petrol,Manual,First,5,6.21
2014,47303,Petrol,Automatic,First,5,5.21
2008,71000,Petrol,Automatic,First,7,11.99
2010,135000,Diesel,Manual,First,5,3.1
2017,1000,Diesel,Manual,First,5,7.5
2016,29000,Diesel,Manual,First,5,4
2016,36367,Petrol,Manual,First,5,7.73
2015,38000,Petrol,Manual,First,5,7.8
2011,83969,Petrol,Manual,First,4,1.3
2014,82621,Diesel,Manual,First,5,4.42
2009,89000,Diesel,Automatic,First,7,4
2016,54000,Diesel,Manual,First,7,13
2015,61691,Diesel,Manual,First,5,5.38
2011,32200,Petrol,Manual,Second,5,3.25
2016,68630,Petrol,Automatic,First,5,3.87
2014,61000,Diesel,Automatic,Second,5,8.25
2018,32644,Petrol,Manual,First,5,9.28
2012,85000,Diesel,Automatic,First,7,6.25
2008,75000,Petrol,Manual,Second,5,1.15
2016,40347,Petrol,Manual,First,5,7.8
2012,60788,Diesel,Manual,First,5,4.5
2018,18664,Petrol,Manual,First,5,7.56
2017,57847,Diesel,Manual,First,7,16.08
2012,52237,Petrol,Manual,First,5,4.5
2012,128000,Diesel,Manual,First,5,5
2011,54000,Petrol,Manual,First,5,2.2
2014,49800,Petrol,Automatic,First,5,4
2012,98000,Diesel,Manual,First,5,2.51
2015,60095,Diesel,Manual,First,5,4.75
2008,68000,Petrol,Manual,Second,5,2
2010,81402,Petrol,Manual,Second,5,2.1
2013,38000,Petrol,Automatic,First,5,6.25
2011,92239,Diesel,Automatic,Second,5,10.6
2017,49224,Diesel,Manual,First,5,6
2004,12000,Petrol,Manual,Second,4,0.45
2018,2500,Petrol,Manual,First,5,12.75
2017,32838,Diesel,Automatic,First,5,30.29
2006,27076,Petrol,Manual,First,5,1.6
2017,75445,Diesel,Manual,First,5,7.54
2015,46601,Petrol,Manual,First,5,6.84
2012,72000,Diesel,Automatic,First,5,6
2017,27000,Diesel,Manual,First,5,8
2016,68193,Diesel,Automatic,First,5,24.74
2017,34429,Diesel,Manual,First,5,5.5
2013,46000,Diesel,Automatic,First,7,36
2013,80544,Diesel,Manual,First,7,11.79
2011,42000,Petrol,Manual,Second,5,3
2011,94821,Diesel,Automatic,Second,5,6.75
2006,100000,Petrol,Manual,First,5,1.4
2014,57000,Diesel,Manual,First,7,5.75
2010,79894,Diesel,Manual,First,5,3.4
2011,44748,Petrol,Manual,Second,5,4.89
2013,31000,Petrol,Manual,First,5,4.95
2013,60587,Petrol,Automatic,Second,5,3.49
2011,32000,Diesel,Manual,First,5,3.85
2014,43772,Petrol,Manual,First,5,6.35
2017,23576,Petrol,Automatic,First,5,7.08
2017,4000,Diesel,Automatic,First,5,38
2012,62000,Diesel,Manual,First,8,6.25
2011,36000,Petrol,Automatic,First,5,10.15
2014,80000,Petrol,Automatic,First,5,10.75
2012,137008,Diesel,Automatic,First,4,4.65
2010,61001,Diesel,Manual,First,8,4.75
2015,52191,Petrol,Manual,First,5,7.78
2016,77076,Diesel,Manual,First,5,6.75
2008,56000,Petrol,Automatic,First,5,2.99
2013,21000,Petrol,Manual,First,5,2.35
2013,89429,Diesel,Manual,First,5,3.65
2012,45631,Petrol,Manual,Second,5,2.74
2013,53959,Petrol,Manual,First,5,3.5
2014,55804,Petrol,Manual,First,5,4.76
2016,25899,Petrol,Manual,First,5,6.2
2008,82000,Diesel,Manual,Second,5,2.35
2014,52000,Diesel,Automatic,First,5,24.5
2013,20000,Petrol,Manual,First,5,6
2017,31829,Petrol,Manual,First,5,3.65
2016,18094,Petrol,Manual,Second,5,6.26
2011,80000,Diesel,Manual,Second,5,2.1
2015,11964,Diesel,Automatic,First,5,32.95
2018,22684,Petrol,Manual,First,5,7.8
2014,43521,Petrol,Manual,First,5,4.25
2014,49386,Petrol,Manual,First,5,4.86
2017,12248,Petrol,Manual,First,5,4.9
2014,67771,Diesel,Manual,First,8,7.06
2015,60007,Petrol,Automatic,First,4,4.5
2011,48624,Petrol,Manual,First,5,3.22
2014,30000,Diesel,Manual,First,5,3.25
2016,81605,Petrol,Manual,First,5,4.53
2017,32642,Diesel,Automatic,First,5,34.78
2014,34200,Petrol,Automatic,First,5,6.5
2010,72204,Petrol,Manual,First,5,2.25
2011,156347,Diesel,Manual,Second,8,8
2017,47357,Diesel,Automatic,First,7,8.37
2015,61738,Diesel,Manual,First,5,5.39
2018,32586,Diesel,Automatic,First,5,37.3
2018,40129,Diesel,Automatic,First,5,70.8
2012,51000,Diesel,Automatic,First,5,22.25
2018,10393,Petrol,Manual,First,5,6.03
2011,46000,Petrol,Automatic,First,5,4.9
2013,21000,Petrol,Automatic,First,5,3.96
2011,113562,Diesel,Manual,First,5,4.6
2011,100010,Diesel,Manual,Second,8,5.5
2013,63107,Petrol,Manual,First,5,3.25
2017,58500,Petrol,Manual,First,5,6.25
2011,108242,Diesel,Manual,First,5,4.25
2011,146300,Diesel,Manual,First,7,12.25
2011,62943,Diesel,Automatic,Second,5,10.95
2013,65000,Diesel,Automatic,First,7,16.5
2018,1700,Petrol,Automatic,First,5,7.8
2013,34697,Petrol,Manual,First,5,3.7
2012,58000,Petrol,Manual,First,5,4
2015,32500,Diesel,Automatic,First,5,26.75
2016,58661,Diesel,Automatic,First,5,28.03
2017,37124,Petrol,Manual,First,5,5.44
2017,44000,Petrol,Automatic,First,5,6.2
2005,45200,Petrol,Manual,First,5,0.9
2016,11000,Petrol,Manual,First,5,3.95
2011,65000,Petrol,Manual,Second,4,0.44
2012,55005,Diesel,Manual,First,5,2.75
2011,81650,Diesel,Automatic,First,5,7.5
2010,160000,Diesel,Manual,Second,5,2.5
2015,169000,Diesel,Manual,First,7,5
2013,67263,Petrol,Manual,First,5,3.6
2012,44223,Petrol,Manual,First,5,3.99
2015,36840,Petrol,Manual,First,5,5.64
2014,160000,Diesel,Manual,First,8,12
2008,133000,Diesel,Manual,First,5,0.7
2015,69123,Diesel,Automatic,First,5,19
2017,38000,Diesel,Automatic,First,7,30.48
2017,5500,Petrol,Manual,First,5,8.2
2015,1001,Diesel,Manual,First,5,7.55
2011,78256,Petrol,Automatic,First,5,4.15
2016,90000,Petrol,Manual,First,5,6.2
2016,18000,Petrol,Manual,First,5,4.4
2012,60000,Diesel,Manual,First,5,2.1
2011,130000,Diesel,Manual,First,5,2.2
2018,32851,Petrol,Manual,First,5,8.34
2014,32000,Diesel,Manual,First,5,4.35
2014,62700,Diesel,Manual,First,5,6.8
2010,71000,Diesel,Manual,First,5,3.3
2016,19947,Petrol,Manual,First,5,5.04
2012,91000,Diesel,Automatic,First,7,9.2
2014,74000,Diesel,Manual,First,5,5.7
2018,55594,Diesel,Manual,First,7,8.48
2013,58000,Diesel,Automatic,First,4,48
2012,110224,Diesel,Manual,First,5,6.1
2010,21002,Petrol,Manual,First,5,2.75
2017,121000,Diesel,Manual,First,7,8
2010,73513,Petrol,Manual,First,5,1.85
2015,34000,Petrol,Automatic,First,5,3.85
2017,28371,Petrol,Manual,First,7,4.74
2013,74755,Diesel,Manual,First,5,5.63
2011,25805,Petrol,Manual,First,5,2.62
2015,82603,Petrol,Manual,First,5,4.9
2006,110000,Petrol,Manual,First,5,2.65
2012,88000,Diesel,Manual,First,7,5.99
2011,110000,Diesel,Manual,Second,5,2.4
2017,15000,Petrol,Manual,First,5,4.25
2013,70000,Diesel,Automatic,First,5,40
2008,150000,Diesel,Manual,Second,5,2.7
2016,19000,Petrol,Manual,First,5,2.99
2011,37442,Petrol,Manual,First,5,3.4
2016,63111,Diesel,Automatic,Second,5,30.8
2012,88000,Diesel,Manual,First,7,5.85
2014,42355,Petrol,Manual,First,5,4
2011,75871,Petrol,Automatic,First,5,14.12
2011,65000,Diesel,Manual,First,5,4.55
2015,69000,Diesel,Automatic,First,5,38
2011,79232,Diesel,Manual,First,5,2.9
2007,220000,Petrol,Automatic,Second,5,6
2016,28470,Petrol,Manual,First,5,6.95
2014,9759,Petrol,Manual,First,5,2.75
2014,75216,Diesel,Manual,First,5,5.1
2017,8000,Petrol,Manual,First,5,6.75
2014,59451,Petrol,Manual,First,5,3.69
2013,53996,Diesel,Manual,First,5,5.45
2018,15135,Petrol,Manual,First,5,9.29
2015,53000,Petrol,Automatic,Second,5,4
2013,40000,Petrol,Manual,First,5,2.9
2013,21107,Petrol,Manual,First,5,5.25
2014,56000,Petrol,Manual,First,5,5.75
2017,19623,Petrol,Manual,First,5,13.12
2014,70963,Diesel,Manual,First,7,7.83
2013,51450,Diesel,Manual,First,7,10.4
2012,75000,Diesel,Manual,First,5,4.35
2017,37832,Petrol,Automatic,First,5,5.23
2016,43041,Petrol,Manual,First,5,6.01
2014,97236,Diesel,Manual,First,5,4.4
2010,83000,Diesel,Automatic,First,5,12.75
2011,65000,Petrol,Manual,First,5,2.4
2018,46007,Petrol,Manual,First,5,5.71
2015,65925,Diesel,Manual,Second,5,5.49
2004,73500,Petrol,Manual,Second,5,1.3
2014,55000,Diesel,Manual,First,7,8.5
2012,115000,Diesel,Manual,First,7,12.99
2017,31184,Petrol,Manual,First,5,5
2017,41747,Diesel,Automatic,First,5,9
2016,38143,Diesel,Manual,First,5,5.22
2012,19030,Petrol,Manual,First,5,3.8
2019,20877,Petrol,Manual,First,5,7.27
2016,23555,Petrol,Manual,First,5,5.1
2013,29000,Diesel,Automatic,First,5,29
2013,61000,Petrol,Manual,First,5,2.9
2012,4187,Petrol,Manual,First,4,1.38
2011,46000,Petrol,Manual,First,5,5.5
2016,28000,Petrol,Automatic,First,5,7.25
2014,83558,Diesel,Manual,First,5,6.98
2017,40000,Diesel,Manual,First,5,5.25
2013,36000,Petrol,Manual,First,5,1.95
2014,21000,Diesel,Automatic,First,5,24.5
2013,62162,Diesel,Manual,First,7,8.31
2012,83000,Diesel,Automatic,First,5,36
2015,58000,Diesel,Manual,First,5,5.5
2011,62332,Petrol,Automatic,First,5,5.89
2016,50867,Diesel,Manual,First,5,7.95
2010,73000,Petrol,Manual,First,5,2.75
2012,98008,Diesel,Manual,First,5,6.25
2015,36000,Diesel,Manual,First,5,4.95
2019,27339,Petrol,Manual,First,5,6.27
2017,25000,Diesel,Manual,First,5,8.65
2014,37000,Petrol,Manual,First,5,3.5
2015,56000,Diesel,Automatic,First,5,35
2015,27000,Petrol,Manual,First,5,4.45
2012,37000,Petrol,Manual,First,5,2.65
2017,10500,Diesel,Manual,First,5,4.7
2014,49000,Diesel,Automatic,First,5,8.9
2017,7000,Diesel,Manual,First,5,17.45
2017,71256,Diesel,Manual,First,5,9.58
2012,83184,Petrol,Manual,First,5,6.22
2013,87284,Diesel,Manual,First,7,7.8
2016,7000,Diesel,Automatic,First,5,27.75
2015,29000,Diesel,Manual,Second,5,7
2017,33552,Diesel,Automatic,First,5,64.87
2013,64000,Diesel,Manual,Second,5,6.5
2011,82000,Petrol,Manual,Second,5,2.7
2012,70000,Petrol,Manual,Second,5,2.5
2013,166194,Diesel,Manual,First,7,3.9
2015,58000,Petrol,Manual,First,5,3.95
2010,77000,Petrol,Manual,Second,5,2.1
2007,70000,Petrol,Manual,Second,5,2
2014,79870,Diesel,Manual,First,7,5.35
2013,90000,Diesel,Manual,First,5,3.8
2016,17000,Petrol,Automatic,First,5,17.25
2018,46493,Petrol,Manual,First,5,5.53
2017,2000,Diesel,Manual,First,5,8.2
1999,140000,Petrol,Manual,First,5,0.9
2014,45535,Diesel,Automatic,First,5,19.41
2016,39228,Petrol,Manual,First,5,6.58
2011,57000,Petrol,Manual,Second,5,2.1
2008,85445,Petrol,Manual,Second,5,2
2015,54000,Diesel,Manual,First,5,3.7
2014,53000,Petrol,Automatic,First,5,3.8
2014,60000,Petrol,Manual,First,5,3.25
2015,65668,Diesel,Manual,First,5,5.53
2011,100000,Diesel,Automatic,Second,5,10.9
2018,1800,Petrol,Manual,First,5,5.1
2007,96000,Petrol,Manual,Second,5,2.2
2009,44200,Petrol,Manual,Second,5,1.6
2018,14000,Petrol,Manual,First,5,11.25
2013,720000,Diesel,Manual,First,5,5.9
2012,73000,Diesel,Automatic,First,7,14.4
2011,68000,Petrol,Manual,First,5,3.6
2017,19543,Diesel,Automatic,First,5,40.5
2014,38000,Diesel,Automatic,Second,5,38.95
2014,32805,Diesel,Manual,First,5,3.6
2016,44782,Diesel,Automatic,First,5,7.12
2016,55700,Diesel,Manual,First,5,7.52
2012,60000,Diesel,Automatic,Second,5,10.35
2014,56000,Petrol,Manual,First,5,7
2011,60000,Diesel,Manual,First,7,10.85
2010,78563,Diesel,Manual,First,5,2.35
2014,34669,Petrol,Manual,First,7,2.9
2017,17000,Petrol,Manual,First,5,7.65
2016,66000,Diesel,Manual,First,5,6.4
2014,102418,Diesel,Manual,First,7,10.1
2014,48800,Petrol,Manual,First,5,4.25
2019,10601,Diesel,Automatic,First,7,19.65
2017,8200,Diesel,Manual,First,5,4.4
2012,100000,Petrol,Manual,First,5,3.25
2012,78000,Diesel,Manual,First,5,2.8
2015,50000,Diesel,Manual,First,8,4.3
2007,98000,Petrol,Manual,Second,5,4.7
2017,24700,Petrol,Manual,First,5,7.07
2018,6000,Diesel,Automatic,First,7,79
2018,9434,Petrol,Manual,First,5,5.75
2012,29000,Petrol,Manual,First,5,3.25
2017,22440,Diesel,Automatic,First,5,8.89
2015,73070,Petrol,Manual,First,5,5.9
2016,21771,Petrol,Manual,First,5,4.95
2014,62000,Diesel,Manual,First,5,3.75
2017,37024,Diesel,Automatic,First,5,10.97
2014,60336,Diesel,Automatic,Second,5,24.94
2014,26008,Petrol,Manual,First,5,1.97
2010,90000,Diesel,Manual,Second,5,1.4
2018,35569,Petrol,Manual,First,5,7.27
2013,40000,Diesel,Manual,First,5,4
2015,45000,Petrol,Manual,First,5,4.75
2015,42000,Petrol,Manual,First,5,5.1
2012,46913,Diesel,Automatic,First,5,16.11
2014,62000,Diesel,Automatic,First,7,10.55
2017,15000,Diesel,Automatic,First,7,30
2002,69000,Diesel,Manual,First,5,1.6
2012,41367,Diesel,Automatic,First,5,18.49
2018,15982,Petrol,Manual,First,5,9.96
2013,99595,Diesel,Manual,Second,5,4.75
2012,49000,Diesel,Automatic,Second,5,15.5
2013,48272,Diesel,Manual,First,6,11.82
2008,63000,Petrol,Manual,First,5,2.05
2013,11734,Petrol,Manual,First,8,2.25
2014,62012,Diesel,Automatic,First,5,20.12
2016,45449,Diesel,Manual,First,5,7.48
2004,85000,Petrol,Automatic,Second,5,5.5
2013,45330,Diesel,Automatic,First,5,13.19
2012,88000,Petrol,Manual,First,5,3.85
2016,45376,Diesel,Manual,First,5,5.75
2014,81000,Diesel,Manual,First,7,9
2012,83381,Petrol,Manual,First,5,2.21
2017,78526,Diesel,Manual,First,5,8.09
2017,27313,Diesel,Automatic,First,5,48.63
2015,42747,Diesel,Automatic,Second,5,39.47
2015,42265,Diesel,Automatic,Second,5,22.24
2009,21000,Petrol,Automatic,First,5,2.6
2016,55100,Diesel,Automatic,First,5,12
2014,70000,Diesel,Automatic,First,5,18
2012,58235,Petrol,Manual,First,5,2.45
2017,26000,Diesel,Manual,First,5,8.99
2011,35000,Diesel,Manual,First,5,3.15
2017,24000,Diesel,Manual,First,5,8.2
2016,98000,Diesel,Manual,First,7,11.5
2016,44487,Diesel,Manual,First,5,7.3
2008,65000,Petrol,Manual,First,5,1.59
2015,34951,Petrol,Manual,Second,5,3.15
2015,52373,Diesel,Manual,Second,7,8.5
2010,66285,Diesel,Manual,First,5,3
2012,66000,Diesel,Automatic,First,5,21
2016,43000,Diesel,Manual,First,5,7.75
2013,45200,Diesel,Automatic,First,5,23
2016,41000,Diesel,Automatic,First,7,13.75
2017,39430,Petrol,Automatic,First,5,8.29
2014,83274,Diesel,Manual,First,5,5.79
2017,32324,Diesel,Automatic,First,5,30.5
2011,49999,Petrol,Manual,First,5,3.8
2014,66000,Diesel,Manual,First,7,4.45
2012,54000,Petrol,Manual,First,5,3.3
2009,80000,Diesel,Manual,Second,5,1.75
2011,72000,Petrol,Automatic,Second,5,5.5
2017,44865,Diesel,Manual,First,5,13.35
2017,22000,Diesel,Automatic,Second,5,22.5
2013,57478,Petrol,Manual,Second,5,5.25
2011,75000,Diesel,Manual,First,5,3.75
2015,50624,Diesel,Manual,First,7,6.32
2018,75000,Diesel,Automatic,First,5,7.75
2006,87000,Petrol,Manual,Second,5,1.37
2010,62000,Petrol,Manual,First,5,2.1
2016,41372,Diesel,Manual,First,5,9.3
2015,70000,Diesel,Manual,First,7,12
2017,35000,Diesel,Automatic,First,5,23.5
2006,71993,Petrol,Manual,First,5,1.8
2013,62000,Diesel,Automatic,Second,5,12.5
2015,51000,Diesel,Manual,First,5,4.74
2016,26038,Petrol,Manual,First,5,5.43
2018,37713,Diesel,Automatic,Second,7,31.62
2011,78088,Petrol,Manual,First,8,6.3
2017,30453,Diesel,Manual,First,5,8.45
2016,54000,Petrol,Manual,First,5,5
2011,190000,Diesel,Manual,First,7,13
2012,65097,Petrol,Manual,First,5,4.7
2018,28060,Petrol,Automatic,First,5,93.67
2012,282000,Petrol,Manual,First,5,3.3
2009,111000,Petrol,Manual,Second,5,1.51
2013,63295,Diesel,Manual,First,5,6.09
2015,35770,Petrol,Manual,First,5,5.95
2012,125928,Diesel,Manual,First,5,9
2015,45000,Diesel,Automatic,First,5,4.25
2013,21000,Diesel,Automatic,First,5,23.5
2011,54774,Petrol,Automatic,First,5,6.35
2014,41123,Petrol,Manual,First,5,3.4
2017,17465,Petrol,Automatic,First,5,93
2014,48000,Diesel,Automatic,First,5,21.6
2011,173000,Diesel,Manual,First,5,4
2018,12000,Diesel,Manual,First,5,5.5
2012,34000,Diesel,Automatic,First,5,19.25
2012,71360,Diesel,Manual,First,5,3.95
2012,74000,Diesel,Manual,Second,5,4.25
2018,28937,Diesel,Manual,First,5,17.02
2012,82085,Diesel,Manual,First,7,6.5
2011,68465,Petrol,Manual,First,5,2.95
2013,63854,Diesel,Manual,First,5,7.12
2018,3000,Diesel,Automatic,First,5,11.25
2009,65055,Petrol,Manual,First,5,2.75
2015,120000,Diesel,Manual,First,7,12
2014,64241,Petrol,Manual,First,5,3.67
2001,121000,Diesel,Manual,First,5,5
2008,2200,Petrol,Manual,First,5,2.3
2008,88123,Diesel,Manual,First,5,2.2
2014,79000,Diesel,Automatic,First,7,41
2016,28143,Diesel,Automatic,First,5,28.5
2015,23001,Petrol,Manual,First,5,5.49
2013,82002,Diesel,Automatic,Second,5,17.5
2009,75000,Diesel,Manual,First,5,1.99
2016,37451,Diesel,Manual,First,5,6.64
2017,67000,Diesel,Manual,First,7,16.5
2016,25000,Petrol,Manual,First,5,5
2017,12000,Petrol,Manual,First,5,5.4
2017,25000,Petrol,Manual,First,5,2.99
2011,95936,Petrol,Manual,First,5,4.1
2018,5354,Petrol,Automatic,First,5,6.76
2016,42000,Petrol,Manual,Second,5,5.5
2014,44282,Diesel,Manual,First,5,5.99
2012,70000,Diesel,Manual,First,5,2.59
2013,31400,Diesel,Automatic,First,5,26.75
2016,50000,Diesel,Manual,First,5,8.5
2011,53000,Diesel,Automatic,First,5,23
2014,21727,Petrol,Manual,First,5,3.35
2012,43000,Diesel,Automatic,Second,7,10.75
2013,75000,Diesel,Manual,First,8,6.29
2014,73557,Diesel,Manual,First,5,7.75
2012,44555,Diesel,Automatic,First,5,13.5
2013,54885,Petrol,Manual,First,7,3.75
2011,76000,Diesel,Manual,Second,7,3.75
2006,101000,Petrol,Manual,Second,5,1.5
2005,66000,Petrol,Manual,First,5,1.45
2013,84360,Petrol,Manual,First,5,4.12
2016,25121,Diesel,Manual,First,7,17.11
2015,100000,Diesel,Manual,Second,7,10.25
2011,66035,Diesel,Manual,First,5,2.49
2015,190000,Petrol,Manual,Second,5,3.85
2014,85670,Diesel,Manual,First,5,6.25
2015,35000,Diesel,Manual,First,5,4.88
2016,8000,Petrol,Automatic,First,5,9.45
2007,162000,Diesel,Manual,Second,8,4.8
2012,60000,Petrol,Manual,First,5,1.99
2010,70600,Petrol,Manual,First,5,2.8
2011,25000,Petrol,Automatic,Second,5,22
2012,75000,Diesel,Manual,First,7,4.3
2014,85071,Diesel,Automatic,First,5,9.75
2015,40000,Petrol,Manual,First,5,5.9
2013,67000,Diesel,Automatic,First,5,14.5
2009,55000,Diesel,Manual,Second,5,2.4
2008,62000,Petrol,Manual,Second,5,2.11
2017,22526,Petrol,Automatic,First,5,7.6
2012,57788,Petrol,Automatic,First,5,3.6
2013,72000,Diesel,Manual,First,8,6
2014,83128,Diesel,Manual,First,7,7.45
2011,75000,Petrol,Manual,First,5,2.1
2013,58000,Diesel,Manual,Second,5,5.2
2009,26000,Diesel,Manual,First,6,6.99
2017,1000,Petrol,Manual,First,5,6.36
2015,59751,Diesel,Manual,First,7,11.62
2015,29966,Diesel,Automatic,Second,5,43.6
2009,65000,Diesel,Manual,Second,5,4.9
2015,75863,Diesel,Manual,First,5,6.7
2014,24000,Diesel,Automatic,First,5,25
2018,33218,Diesel,Manual,First,5,19.05
2015,33425,Petrol,Manual,First,5,4.5
2013,47000,Petrol,Manual,First,5,4.15
2015,41000,Diesel,Manual,First,5,11.9
2011,62000,Petrol,Manual,First,5,2.1
2016,47035,Diesel,Manual,First,7,6.95
2008,56230,Petrol,Manual,Second,5,2.4
2007,55000,Petrol,Manual,First,5,2.65
2014,70669,Diesel,Manual,First,7,9
2012,69000,Petrol,Manual,First,5,2.1
2011,65000,Petrol,Manual,Second,5,2.5
2009,30000,Diesel,Automatic,First,5,8.95
2017,2000,Diesel,Automatic,First,5,34
2015,40000,Petrol,Manual,First,5,4
2014,40000,Diesel,Manual,First,5,4.45
2010,26000,Petrol,Manual,First,5,1.5
2011,105000,Diesel,Automatic,Second,5,14.5
2015,2800,Diesel,Manual,First,5,8.41
2014,71000,Diesel,Automatic,Second,5,5.45
2015,32896,Petrol,Automatic,First,5,8.9
2012,45000,Petrol,Manual,First,5,3.65
2015,65000,Diesel,Automatic,Second,5,29
2013,45200,Diesel,Automatic,First,5,13.5
2008,82167,Petrol,Automatic,First,5,5.4
2016,37429,Petrol,Manual,First,5,5.89
2016,46000,Diesel,Manual,First,5,8.45
2011,67031,Petrol,Manual,First,5,4
2013,30000,Diesel,Automatic,First,4,45
2016,47691,Petrol,Automatic,First,5,3.94
2011,32531,Diesel,Automatic,Second,5,8
2013,71336,Diesel,Manual,First,5,4.1
2006,196000,Diesel,Manual,First,7,6.25
2015,28193,Diesel,Manual,First,5,5.25
2013,85000,Diesel,Automatic,First,5,21
2015,20780,Petrol,Manual,First,5,4.3
2014,43081,Petrol,Manual,First,7,5.25
2010,35000,Petrol,Automatic,Second,5,32
2013,36000,Diesel,Manual,First,7,3.9
2016,34079,Diesel,Manual,First,6,3.7
2010,77849,Petrol,Automatic,Second,5,11.27
2013,86000,Petrol,Manual,First,5,2.41
2015,110000,Diesel,Automatic,First,5,19
2015,116000,Diesel,Manual,Second,5,5.8
2016,41840,Diesel,Manual,First,7,13.52
2015,19317,Diesel,Manual,First,7,24.5
2017,25601,Diesel,Automatic,First,5,56.73
2015,83950,Diesel,Manual,First,5,9.95
2012,60000,Petrol,Automatic,First,5,5.5
2015,50000,Diesel,Automatic,First,5,25
2009,37000,Petrol,Manual,First,5,1
2011,76976,Petrol,Manual,Second,5,2.15
2018,21684,Petrol,Automatic,First,5,7.89
2015,62000,Diesel,Manual,First,7,10.25
2007,1261,Petrol,Manual,First,5,6
2017,59450,Petrol,Manual,First,5,7.53
2018,24465,Diesel,Automatic,First,5,39.45
2014,55000,Petrol,Manual,First,5,5.84
2017,2000,Petrol,Manual,First,5,8.65
2017,25040,Petrol,Manual,First,5,7.74
2008,84000,Petrol,Manual,First,5,2.5
2007,170428,Diesel,Manual,Second,8,5.7
2016,12573,Petrol,Manual,First,5,5.8
2012,88000,Diesel,Automatic,First,7,36.5
2012,86000,Diesel,Automatic,Second,7,9.5
2012,51019,Petrol,Manual,First,5,3.48
2013,45000,Petrol,Manual,First,5,4.55
2012,51000,Diesel,Manual,First,5,3.9
2007,92000,Diesel,Manual,First,7,2.7
2017,29000,Diesel,Automatic,First,7,31
2009,70521,Petrol,Automatic,Second,5,10.3
2010,51000,Diesel,Automatic,First,5,7.75
2012,52618,Petrol,Manual,First,5,3.2
2013,68000,Diesel,Manual,First,7,4.85
2016,29022,Diesel,Automatic,Second,5,34.08
2017,80000,Diesel,Manual,First,7,8.1
2016,78000,Diesel,Manual,Second,5,2.35
2012,100000,Petrol,Manual,First,5,1.8
2015,31412,Petrol,Manual,First,5,3.42
2010,78000,Diesel,Automatic,Second,7,5.34
2018,14000,Diesel,Automatic,First,7,31.99
2011,80000,Diesel,Manual,First,5,4.75
2014,46738,Petrol,Automatic,First,5,6.1
2013,54884,Petrol,Manual,Second,5,3.69
2012,74500,Diesel,Automatic,Second,5,15
2016,67472,Diesel,Manual,First,7,14.5
2013,84000,Diesel,Manual,First,5,5.65
2011,77400,Diesel,Manual,First,5,2.5
2017,14470,Diesel,Automatic,First,5,38.5
2014,52108,Diesel,Manual,First,5,5.49
2013,40000,Petrol,Manual,First,5,3.55
2014,105044,Diesel,Manual,First,7,10.75
2016,24347,Petrol,Manual,First,5,11
2014,58000,Diesel,Manual,First,5,4.5
2014,49663,Diesel,Manual,First,7,8.42
2017,17000,Petrol,Automatic,First,5,11.6
2016,13418,Diesel,Automatic,First,5,33.63
2010,74000,Petrol,Automatic,First,5,12.95
2010,86514,Diesel,Manual,First,5,4.25
2014,66882,Diesel,Automatic,First,5,25.02
2014,41460,Petrol,Manual,First,5,3.95
2011,57000,Petrol,Automatic,First,5,4.4
2010,96813,Diesel,Manual,Second,8,5.5
2011,84000,Petrol,Manual,First,5,3.25
2013,50004,Petrol,Manual,First,5,4.02
2016,67995,Diesel,Manual,First,7,11.73
2012,55000,Diesel,Manual,First,5,9.5
2017,14900,Petrol,Automatic,First,5,8.6
2013,70961,Diesel,Manual,First,5,4
2015,40194,Petrol,Manual,First,5,5.55
2015,96000,Petrol,Manual,First,5,2.5
2017,35000,Diesel,Automatic,First,7,41.6
2015,50000,Petrol,Automatic,First,5,7.41
2014,50000,Diesel,Manual,First,5,6.5
2008,26299,Petrol,Manual,First,5,1.2
2015,150386,Diesel,Manual,First,7,23
2012,60000,Diesel,Manual,First,5,2.74
2013,65000,Diesel,Manual,First,5,3.9
2017,80000,Diesel,Manual,First,5,8
2016,13000,Petrol,Automatic,First,5,17.75
2013,73278,Diesel,Manual,First,5,5.05
2011,38000,Petrol,Automatic,First,5,12
2016,46936,Diesel,Automatic,First,5,29.6
2015,55000,Diesel,Manual,First,5,6.5
2014,19000,Petrol,Automatic,First,5,4.75
2016,42259,Diesel,Automatic,First,5,24.36
2011,14000,Petrol,Manual,Second,5,3.2
2016,16956,Petrol,Manual,First,5,3.6
2017,15473,Petrol,Manual,First,5,3.58
2011,75000,Diesel,Manual,First,5,2.5
2013,96000,Diesel,Manual,Second,5,3.5
2015,25000,Petrol,Automatic,First,5,25
2010,38000,Petrol,Manual,Second,5,1.75
2005,54000,Diesel,Automatic,First,5,10
